index,Country,Area,Location,LAT,LONG,methode
1869,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,-36.5986096,144.6780052,countryarea
1870,AUSTRALIA,Western Australia,Perth? (Margaret River District),-25.2303005,121.0187246,countryarea
1871,AUSTRALIA,Western Australia,Perth? (Margaret River District),-25.2303005,121.0187246,countryarea
1872,SOUTH AFRICA,KwaZulu-Natal,Sodwana,-27.5678541,32.6531764,locatie
1873,USA,Florida,"Daytona Beach, Volusia County",29.2108147,-81.0228331,locatie
1874,INDIA,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",10.9094334,78.3665347,countryarea
1875,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",27.7567667,-81.4639835,countryarea
1876,EGYPT,Sinai Peninsula,"Sha’ab Mahmud, Ras Mohamed Park",29.52316965,33.805472576508,countryarea
1877,SOUTH AFRICA,KwaZulu-Natal,Karridene,-30.1247222,30.8463889,locatie
1878,AUSTRALIA,New South Wales,"Seal Rocks, north of Newcastle",-31.8759835,147.2869493,countryarea
1879,PANAMA,Pearl Islands,,8.34806215,-78.89618503510601,area
1880,USA,Florida,"Ponte Vedra Beach, St. Johns County",30.2396865,-81.3856384,locatie
1881,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",-32.4442517,152.52607815993247,locatie
1882,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",19.593801499999998,-155.42837009716908,countryarea
1883,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1884,USA,Hawaii,Honolua Bay,21.0158672,-156.6414705,locatie
1885,USA,Florida,Near Patrick Air Force Base Brevard County,27.7567667,-81.4639835,countryarea
1886,USA,Florida,Palm Beach?,26.6279798,-80.4494174,locatie
1887,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",27.7567667,-81.4639835,countryarea
1888,USA,Florida,"Stuart Park Beach, Martin County",27.7567667,-81.4639835,countryarea
1889,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",27.7567667,-81.4639835,countryarea
1890,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",27.7567667,-81.4639835,countryarea
1891,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",19.593801499999998,-155.42837009716908,countryarea
1892,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,-16.8261493,-179.9354607,countryarea
1893,USA,Florida,"North Hutchinson Island, St. Lucie Couny",27.7567667,-81.4639835,countryarea
1894,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",29.064569849999998,-80.91515395883673,locatie
1895,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",29.064569849999998,-80.91515395883673,locatie
1896,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1897,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1898,SOUTH AFRICA,Western Cape Province,Melkbosstrand,-33.722222,18.445833,locatie
1899,USA,Florida,"Bathtub Reef Beach, Martin County",27.7567667,-81.4639835,countryarea
1900,USA,Florida,"Daytona Beach, Volusia County",29.2108147,-81.0228331,locatie
1901,USA,South Carolina,"Isle of Palms, Charleston County",32.7867697,-79.7880359,locatie
1902,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,-33.546977,20.72753,countryarea
1903,USA,Florida,"Boca Grande, Lee County",26.7489586,-82.262039,locatie
1904,USA,Texas,1.5 miles off Surfside,31.2638905,-98.5456116,countryarea
1905,USA,California,"Avila Beach, San Luis Obispo County",35.1799752,-120.731841,locatie
1906,USA,California,"Venice Beach, Los Angeles County",33.97996005,-118.46878181253348,locatie
1907,SOUTH AFRICA,Eastern Cape Province,Jeffrey’s Bay,40.6292647,-74.0259399,locatie
1908,AUSTRALIA,Northern Territory,Nhulunbuy,-12.1804346,136.7759913,locatie
1909,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",29.064569849999998,-80.91515395883673,locatie
1910,USA,Florida,"Daytona Beach, Volusia County",29.2108147,-81.0228331,locatie
1911,BAHAMAS,Abaco Islands,Bakers Bay,-41.1560694,174.1805191,locatie
1912,USA,Florida,"Near New Smyrna Jetty, Volusia County",27.7567667,-81.4639835,countryarea
1913,USA,Florida,"Canova Beach, Brevard County",28.1341798,-80.5786607,locatie
1914,BAHAMAS,Abaco Islands,10 miles west of Walker’s Cay,26.3918096,-77.1370018,countryarea
1915,USA,Florida,"Fort Lauderdale, Broward County",26.1223084,-80.1433786,locatie
1916,FRENCH POLYNESIA,Society Islands,Moorea,-17.533306000000003,-149.83860061183017,locatie
1917,NEW ZEALAND,Cook Islands,Beveridge Reef,-20.0307083,-167.76316644754004,locatie
1918,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1919,USA,Florida,St Augustine Beach. St. Johns County,29.8508613,-81.2716634,locatie
1920,BRAZIL,Pernambuco,"Piedade, Recife",-8.1756855,-34.9187594,locatie
1921,USA,Florida,"Cocoa Beach, Brevard County",28.3194741,-80.6102592,locatie
1922,USA,Hawaii,"Makua Beach, Oahu",19.593801499999998,-155.42837009716908,countryarea
1923,USA,Johnston Atoll,,16.752446149999997,-169.51070155661202,area
1924,USA,North Carolina,"Masonboro Island, New Hanover County",34.1254492,-77.8580398,locatie
1925,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,locatie
1926,USA,South Carolina,"Pawleys Island, Georgetown County",33.4293486,-79.1215912,locatie
1927,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",27.7567667,-81.4639835,countryarea
1928,USA,Florida,"Ponce de Leon Inlet, Volusia County",29.0768174,-80.9177996,locatie
1929,USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,19.593801499999998,-155.42837009716908,countryarea
1930,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1931,USA,Florida,"Daytona Beach Shores, Volusia County",29.1760933,-80.9828323,locatie
1932,PHILIPPINES,Baatan,Limay,48.9921015,1.7353686,locatie
1933,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",-22.9110137,-43.2093727,countryarea
1934,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",-22.9110137,-43.2093727,countryarea
1935,BRAZIL,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",-8.4116316,-37.5919699,countryarea
1936,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",-22.9110137,-43.2093727,countryarea
1937,USA,Florida,"Melbourne Beach, Brevard County",28.0683496,-80.5603303,locatie
1938,USA,Florida,"Shepard Park, Cocoa Beach, Brevard County",28.3581532,-80.6070489,locatie
1939,USA,Florida,"Playalinda Beach, Brevard County",28.6548961,-80.6308632,locatie
1940,USA,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",27.7567667,-81.4639835,countryarea
1941,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1942,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1943,USA,Florida,"North Beach, Patrick AFB, Brevard County",27.7567667,-81.4639835,countryarea
1944,USA,Florida,"Cocoa Beach, Brevard County",28.3194741,-80.6102592,locatie
1945,VENEZUELA,Nueva Esparta,"El Yaqu, Isla de Margarita",10.9645415,-64.09754466198463,countryarea
1946,USA,Florida,"Melbourne Beach, Brevard County",28.0683496,-80.5603303,locatie
1947,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1948,USA,Florida,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County",27.7567667,-81.4639835,countryarea
1949,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,-45.92542665,167.60684826776085,countryarea
1950,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",-30.5343665,135.6301212,countryarea
1951,USA,Florida,"Jupiter, Palm Beach County",26.9342246,-80.0942087,locatie
1952,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",-31.8759835,147.2869493,countryarea
1953,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,-22.1646782,144.5844903,countryarea
1954,SOUTH AFRICA,Western Cape Province,"Near the lagoon at Table View, Cape Peninsula",-33.546977,20.72753,countryarea
1955,COSTA RICA,North Pacific coast,Playa Tamarindo,10.300853499999999,-85.84154816522363,locatie
1956,AUSTRALIA,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,-25.2303005,121.0187246,countryarea
1957,AUSTRALIA,Queensland,Great Barrier Reef (near Upolu Bay),-22.1646782,144.5844903,countryarea
1958,SOUTH AFRICA,Western Cape Province,Scarborough,54.2820009,-0.4011868,locatie
1959,AUSTRALIA,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,-22.1646782,144.5844903,countryarea
1960,AUSTRALIA,Queensland,Golden Beach,25.9650919,-80.1222671,locatie
1961,AUSTRALIA,Queensland,Miami Lake,-28.07690105,153.43595667865713,locatie
1962,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",-8.127568100000001,-34.89766384326872,locatie
1963,MICRONESIA,Caroline Islands,"Pision Reef, Truk",error,error,error
1964,USA,California,"Salmon Creek, Sonoma County",38.350472,-123.0622242,locatie
1965,USA,Hawaii,Ka'anapali,20.94256175,-156.69087359310777,locatie
1966,TURKS & CAICOS,Caicos Bank,French Cay,16.3608168,-86.4484336,locatie
1967,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",29.064569849999998,-80.91515395883673,locatie
1968,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1969,FRENCH POLYNESIA,Society Islands,Tetiaroa,-17.0162552,-149.5897766,locatie
1970,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",19.593801499999998,-155.42837009716908,countryarea
1971,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City, Recife",-8.4116316,-37.5919699,countryarea
1972,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",27.7567667,-81.4639835,countryarea
1973,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1974,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1975,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1976,USA,Florida,"Ormond Beach, Volusia County",29.2854132,-81.0557921,locatie
1977,USA,Florida,"Sebastian Inlet, Brevard County",27.8557604,-80.4535013,locatie
1978,USA,Hawaii,"Kahala, O'ahu",19.593801499999998,-155.42837009716908,countryarea
1979,USA,Florida,"Key Largo, Monroe County",25.091338,-80.46777414781022,locatie
1980,TONGA,Vava'u,Swimming with humpback whales,-18.62315975,-174.00203980987774,countryarea
1981,USA,Oregon,Cape Kiwanda,45.2167126,-123.9803347,locatie
1982,USA,California,"Moonstone Beach, Humboldt County",41.029767,-124.110057,locatie
1983,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City",-8.4116316,-37.5919699,countryarea
1984,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",19.593801499999998,-155.42837009716908,countryarea
1985,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",-33.546977,20.72753,countryarea
1986,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",29.064569849999998,-80.91515395883673,locatie
1987,USA,Florida,"Daytona Beach Shores, Volusia County",29.1760933,-80.9828323,locatie
1988,USA,Hawaii,"Kewalo Basin Channel, O'ahu",19.593801499999998,-155.42837009716908,countryarea
1989,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",33.2588817,-86.8295337,countryarea
1990,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
1991,USA,Florida,"Vero Beach, Indian River County",27.6387163,-80.3975399,locatie
1992,USA,Florida,"Ponce De Leon Inlet, Volusia County",29.0768174,-80.9177996,locatie
1993,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",53.26210055,-2.8870029166304896,locatie
1994,USA,North Carolina,"Topsail Beach, Pender County",34.3651685,-77.6305293,locatie
1995,USA,South Carolina,"Myrtle Beach, Horry County",33.6956461,-78.8900409,locatie
1996,USA,North Carolina,"Emerald Isle, Carteret County",34.665333,-77.0382549,locatie
1997,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",29.064569849999998,-80.91515395883673,locatie
1998,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",39.5162401,-76.9382069,countryarea
1999,BRAZIL,Pernambuco,"Piedade Beach, Recife",-8.17337955,-34.91544497000476,locatie
2000,USA,North Carolina,"Wrightsville Beach, New Hanover County",34.2079917,-77.7955907,locatie
2001,AUSTRALIA,Queensland,Sunshine Beach,27.7769711,-82.7784352,locatie
2002,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2003,INDONESIA,,"Shark caught in Indonesia, offloaded to trawler that docked at Samut Prakan, 20 miles south of Bangkok, Thailand",error,error,error
2004,PAPUA NEW GUINEA,Louisiade Archipelago,"Brooker Island , Calvados Chain",-11.2,153.0,countryarea
2005,PAPUA NEW GUINEA,Louisiade Archipelago,"Gawa Reefs, Sudest Island",-11.2,153.0,countryarea
2006,USA,Hawaii,"Anini Beach, Kaua'i",19.593801499999998,-155.42837009716908,countryarea
2007,USA,Florida,"St Augustine Beach, St Johns County",29.8508613,-81.2716634,locatie
2008,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",27.7567667,-81.4639835,countryarea
2009,USA,Florida,"Jensen Beach, Martin County",27.22089615,-80.25567726584178,locatie
2010,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati,error,error,error
2011,USA,California,"Stinson Beach, Marin County",37.9008084,-122.6450801,locatie
2012,USA,Florida,"St. George Island (near Apachicola), Franklin County",27.7567667,-81.4639835,countryarea
2013,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island",27.7567667,-81.4639835,countryarea
2014,USA,Florida,"Atlantic Avenue, Palm Beach County",26.7234824,-80.0383482,locatie
2015,COSTA RICA,Guanacaste,Playa Grande,10.6544136,-63.2849139,locatie
2016,PAPUA NEW GUINEA,Milne Bay Province,Tewatewa Island,-10.0226491,151.5800288,countryarea
2017,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",25.8975832,-81.55702826684407,locatie
2018,BRAZIL,Pernambuco,"Pina, Recife",-8.0963033,-34.8946884,locatie
2019,AUSTRALIA,Northern Territory,Darwin,-12.46044,130.8410469,locatie
2020,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",-30.5343665,135.6301212,countryarea
2021,AUSTRALIA,New South Wales,26 nautical miles out to sea off Lake Macquarie,-31.8759835,147.2869493,countryarea
2022,USA,Florida,"St. Augustine Beach, St. Johns County",29.8508613,-81.2716634,locatie
2023,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2024,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",-32.938888,151.7683089,locatie
2025,BAHAMAS,Abaco Islands,Walkers Cay,34.6905664,-77.0786332,locatie
2026,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2027,USA,Florida,"Lauderdale-By-The-Sea, Broward County",26.192028,-80.0964326,locatie
2028,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",19.593801499999998,-155.42837009716908,countryarea
2029,USA,Florida,"Cocoa Beach, Brevard County",28.3194741,-80.6102592,locatie
2030,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",-8.127568100000001,-34.89766384326872,locatie
2031,USA,Florida,"Daytona Beach Shores, Volusia County",29.1760933,-80.9828323,locatie
2032,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",27.7567667,-81.4639835,countryarea
2033,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2034,NEW CALEDONIA,Loyalty Islands,Lifou,-20.9328607,167.16578476651785,locatie
2035,TURKS & CAICOS,,,alleen land bekend,alleen land bekend,error
2036,AUSTRALIA,Queensland,Sunshine Beach,27.7769711,-82.7784352,locatie
2037,FIJI,Cikobia Island (north of Vanua Levu),,error,error,error
2038,AUSTRALIA,New South Wales,Paramatta River (near Sydney),-31.8759835,147.2869493,countryarea
2039,AUSTRALIA,New South Wales,Just north of Fingal Spit,-31.8759835,147.2869493,countryarea
2040,AUSTRALIA,Western Australia,Collie River,-33.3540839,115.9029735,locatie
2041,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,-28.503833,30.8875009,countryarea
2042,BRAZIL,Pernambuco,Candeias,-20.7676161,-45.2763777,locatie
2043,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,-28.9557332,31.7565591,locatie
2044,USA,Hawaii,"Olowalu, Maui",20.811858,-156.6221108,locatie
2045,AUSTRALIA,Western Australia,"Honeycombs, 250 km south of Perth",-25.2303005,121.0187246,countryarea
2046,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",-31.8759835,147.2869493,countryarea
2047,USA,Hawaii,"Kapalua, Maui",20.99490395,-156.6562339558182,locatie
2048,AUSTRALIA,Western Australia,"Leighton Beach, south of North Cottesloe",-25.2303005,121.0187246,countryarea
2049,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,41.0103752,-73.5965138,locatie
2050,AUSTRALIA,Queensland,200 miles offshore,-22.1646782,144.5844903,countryarea
2051,MEXICO,Guerrero,Ixtapa,16.807622700000003,-92.898650478142,locatie
2052,AUSTRALIA,Queensland,"Moreton Bay, NE of Brisbane",-22.1646782,144.5844903,countryarea
2053,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,locatie
2054,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2055,USA,Florida,"2 miles off Pompano Beach, Broward County",27.7567667,-81.4639835,countryarea
2056,USA,Florida,A quarter mile north of Fort Pierce Inlet,27.7567667,-81.4639835,countryarea
2057,USA,North Carolina,"North Topsail Beach, Onslow County",34.4901665,-77.43163,locatie
2058,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",53.26210055,-2.8870029166304896,locatie
2059,USA,Florida,"Everglades National Park, Monroe County",25.3870275,-80.88026316596292,locatie
2060,USA,Florida,"Key Biscayne, Dade County",25.6968351,-80.1635261,locatie
2061,USA,South Carolina,"Waites Island, Horry County",33.8487836,-78.5747337,locatie
2062,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",35.6729639,-79.0392919,countryarea
2063,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",35.6729639,-79.0392919,countryarea
2064,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",27.7567667,-81.4639835,countryarea
2065,USA,Virginia,"Sandbridge Beach, Princess Anne County",37.1232245,-78.4927721,countryarea
2066,BAHAMAS,Abaco Islands,North of Grand Cay,26.3918096,-77.1370018,countryarea
2067,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",27.7567667,-81.4639835,countryarea
2068,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2069,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2070,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2071,USA,Florida,"Daytona, Volusia County",29.2108147,-81.0228331,locatie
2072,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2073,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2074,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2075,USA,Florida,"Wilbur-by-the-Sea, Volusia County",29.1313721,-80.9575542,locatie
2076,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2077,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2078,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2079,BAHAMAS,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",26.518957,-78.7738568,countryarea
2080,THAILAND,Rayong Province,Laem Mae Pim Beach,12.64960355,101.61866328741934,locatie
2081,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",33.6874388,-80.4363743,countryarea
2082,BAHAMAS,Grand Bahama Island,Freeport,42.2966861,-89.6212271,locatie
2083,ITALY,,Rimini,43.9470982,12.630768610516004,locatie
2084,USA,South Carolina,"Myrtle Beach, Horry County",33.6956461,-78.8900409,locatie
2085,USA,Florida,"Taverniier, Monroe County",27.7567667,-81.4639835,countryarea
2086,USA,Florida,"Marathon , Monroe County",24.7137524,-81.0903512,locatie
2087,USA,Massachusetts,Chatham Island,-43.8055462,-176.7928518,locatie
2088,USA,Florida,"Santa Rosa Island, Escambia County",30.31850075,-87.25554377551245,locatie
2089,USA,Florida,"Amelia Island, Nassau County",30.6077379,-81.4600909,locatie
2090,MEXICO,Baja California,Ensenada,31.8658887,-116.6029835,locatie
2091,USA,Florida,Gulf Islands National Seashore,30.2369736,-88.68042953504445,locatie
2092,USA,South Carolina,"Isle of Palms, Charleston County",32.7867697,-79.7880359,locatie
2093,USA,Georgia,"Jekyll Island, Glynn County",31.0655982,-81.41431464659931,locatie
2094,USA,Texas,Padre Island National Seashore,27.04553605,-97.39789075348415,locatie
2095,USA,California,Catalina Island,55.5481127,-133.2923757027654,locatie
2096,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),-31.8759835,147.2869493,countryarea
2097,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",33.6874388,-80.4363743,countryarea
2098,USA,Texas,Galveston Island,29.2221833,-94.90881,locatie
2099,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",32.158801,-80.72248319561183,locatie
2100,USA,South Carolina,"Fripp Island, Beaufort County",32.3223759,-80.4821328,locatie
2101,PHILIPPINES,Zamboanga del Sur Province,,error,error,error
2102,MADAGASCAR,,Shipwrecked Ferry M/V Samsonnette,error,error,error
2103,SOUTH AFRICA,Eastern Cape Province,East London,-33.0191604,27.8998573,locatie
2104,AUSTRALIA,New South Wales,Noraville,-33.2643752,151.5581978,locatie
2105,USA,Florida,"Jacksonville, Duval County",30.3321838,-81.655651,locatie
2106,FIJI,Taveuni,,-16.8261493,-179.9354607,area
2107,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2108,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2109,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2110,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",27.7567667,-81.4639835,countryarea
2111,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2112,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2113,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2114,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",27.7567667,-81.4639835,countryarea
2115,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2116,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",27.7567667,-81.4639835,countryarea
2117,USA,Hawaii,"Ewa Beach, O'ahu",19.593801499999998,-155.42837009716908,countryarea
2118,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2119,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,-34.208091,24.832673,locatie
2120,AUSTRALIA,New South Wales,Bronte Beach,-33.9036232,151.26829232543662,locatie
2121,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",27.7567667,-81.4639835,countryarea
2122,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",-5.09033445,-36.637525049484594,locatie
2123,AUSTRALIA,New South Wales,Nambucca River Entrance,-31.8759835,147.2869493,countryarea
2124,USA,Hawaii,"Sandy Beach, Oahu",19.593801499999998,-155.42837009716908,countryarea
2125,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",27.7567667,-81.4639835,countryarea
2126,BRAZIL,Bahia,Nova Vicosa,-17.8907712,-39.3725471,locatie
2127,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",-8.127568100000001,-34.89766384326872,locatie
2128,CARIBBEAN SEA,,Between St. Maarten & Anguilla,error,error,error
2129,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),-25.2303005,121.0187246,countryarea
2130,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),4.2273633,100.5590779099177,locatie
2131,AUSTRALIA,New South Wales,Broome Head,-16.5052204,122.8573372,locatie
2132,AUSTRALIA,New South Wales,South West Rocks,-30.8943859,153.040677,locatie
2133,CUBA,Holquin Province,Off Blau Costa Verde resort,error,error,error
2134,AUSTRALIA,South Australia,Adelaide,-34.9281805,138.5999312,locatie
2135,USA,California,"Sunset Cliffs, San Diego",32.7305,-117.2532,locatie
2136,NEW ZEALAND,North Island,Sandy Bay/Whananaki,-38.00353045,175.95785260835657,countryarea
2137,AUSTRALIA,Queensland,Flinders Cay,-22.1646782,144.5844903,countryarea
2138,FIJI,Taveuni,Garden Island Resort,-16.7916069,-179.9981204,locatie
2139,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",-30.5343665,135.6301212,countryarea
2140,CANADA,New Brunswick,Bay of Fundy,44.8512466,-66.19778170407118,locatie
2141,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",-22.1646782,144.5844903,countryarea
2142,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",-21.2280888,-159.8261485,locatie
2143,AUSTRALIA,Queensland,Orpheus Island,-18.617588050000002,146.49532659453692,locatie
2144,AUSTRALIA,South Australia,Ceduna,-32.1263581,133.6742187,locatie
2145,USA,Florida,"Bonita Springs, Lee County",26.339806,-81.7786972,locatie
2146,USA,Florida,"Vaughn Beach, Flagler County",27.7567667,-81.4639835,countryarea
2147,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",-25.2303005,121.0187246,countryarea
2148,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",-25.2303005,121.0187246,countryarea
2149,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",36.7014631,-118.755997,countryarea
2150,AUSTRALIA,Queensland,Peel Island,40.6787152,-91.1258772,locatie
2151,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",27.47869875,-80.3030766163625,locatie
2152,USA,Hawaii,Olowalu,20.811858,-156.6221108,locatie
2153,USA,Florida,"South Beach, Sebastian, Indian River County",27.7567667,-81.4639835,countryarea
2154,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",27.7567667,-81.4639835,countryarea
2155,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2156,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
2157,USA,North Carolina,"Wrightsville Beach, New Hanover County",34.2079917,-77.7955907,locatie
2158,USA,California,"Mavericks, Half Moon Bay, San Mateo County",36.7014631,-118.755997,countryarea
2159,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",-30.5343665,135.6301212,countryarea
2160,AUSTRALIA,South Australia,Cactus Beach near Penong,-30.5343665,135.6301212,countryarea
2161,AUSTRALIA,New South Wales,Wollongong,-34.4278083,150.893054,locatie
2162,OKINAWA,Miyako Island,Sunayama Beach,24.8393694,125.28054016099229,locatie
2163,USA,South Carolina,"Isle of Palms, Charleston County",32.7867697,-79.7880359,locatie
